start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,total runs,score
2008-04-18,M Chinnaswamy Stadium,1,0.1,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,P Kumar,1,1
2008-04-18,M Chinnaswamy Stadium,1,0.2,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,0,1
2008-04-18,M Chinnaswamy Stadium,1,0.3,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,1,2
2008-04-18,M Chinnaswamy Stadium,1,0.4,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,0,2
2008-04-18,M Chinnaswamy Stadium,1,0.5,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,0,2
2008-04-18,M Chinnaswamy Stadium,1,0.6,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,0,2
2008-04-18,M Chinnaswamy Stadium,1,0.7,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,1,3
2008-04-18,M Chinnaswamy Stadium,1,1.1,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,Z Khan,0,3
2008-04-18,M Chinnaswamy Stadium,1,1.2,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,Z Khan,4,7
2008-04-18,M Chinnaswamy Stadium,1,1.3,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,Z Khan,4,11
2008-04-18,M Chinnaswamy Stadium,1,1.4,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,Z Khan,6,17
2008-04-18,M Chinnaswamy Stadium,1,1.5,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,Z Khan,4,21
2008-04-18,M Chinnaswamy Stadium,1,1.6,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,Z Khan,0,21
2008-04-18,M Chinnaswamy Stadium,1,2.1,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,P Kumar,0,21
2008-04-18,M Chinnaswamy Stadium,1,2.2,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,P Kumar,0,21
2008-04-18,M Chinnaswamy Stadium,1,2.3,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,P Kumar,1,22
2008-04-18,M Chinnaswamy Stadium,1,2.4,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,4,26
2008-04-18,M Chinnaswamy Stadium,1,2.5,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,1,27
2008-04-18,M Chinnaswamy Stadium,1,2.6,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,P Kumar,0,27
2008-04-18,M Chinnaswamy Stadium,1,3.1,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,AA Noffke,5,32
2008-04-18,M Chinnaswamy Stadium,1,3.2,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,AA Noffke,6,38
2008-04-18,M Chinnaswamy Stadium,1,3.3,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,AA Noffke,1,39
2008-04-18,M Chinnaswamy Stadium,1,3.4,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,AA Noffke,4,43
2008-04-18,M Chinnaswamy Stadium,1,3.5,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,AA Noffke,0,43
2008-04-18,M Chinnaswamy Stadium,1,3.6,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,AA Noffke,1,44
2008-04-18,M Chinnaswamy Stadium,1,3.7,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,AA Noffke,6,50
2008-04-18,M Chinnaswamy Stadium,1,4.1,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,P Kumar,4,54
2008-04-18,M Chinnaswamy Stadium,1,4.2,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,P Kumar,1,55
2008-04-18,M Chinnaswamy Stadium,1,4.3,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,4,59
2008-04-18,M Chinnaswamy Stadium,1,4.4,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,0,59
2008-04-18,M Chinnaswamy Stadium,1,4.5,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,P Kumar,1,60
2008-04-18,M Chinnaswamy Stadium,1,4.6,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,P Kumar,0,60
2008-04-18,M Chinnaswamy Stadium,1,5.1,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SC Ganguly,Z Khan,1,61
2008-04-18,M Chinnaswamy Stadium,1,5.2,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,Z Khan,0,61
2008-04-18,M Chinnaswamy Stadium,1,5.3,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,BB McCullum,Z Khan,0,61
2008-04-18,M Chinnaswamy Stadium,1,5.4,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,BB McCullum,Z Khan,0,61
2008-04-18,M Chinnaswamy Stadium,1,5.5,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,BB McCullum,Z Khan,0,61
2008-04-18,M Chinnaswamy Stadium,1,5.6,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,BB McCullum,Z Khan,0,61
2008-04-18,M Chinnaswamy Stadium,2,0.1,Royal Challengers Bangalore,Kolkata Knight Riders,R Dravid,W Jaffer,AB Dinda,1,1
2008-04-18,M Chinnaswamy Stadium,2,0.2,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,R Dravid,AB Dinda,1,2
